"","gene.id","radius","size","observed.tau_b","p.Decay","observed.cor","p.Sphere","p.Fisher","time"
"47","SCN2A",4,403,-0.16556702297902,0.000999000999000999,0,1,0.00790085392538984,1.38728904724121
"513","DRD2",5,436,-0.0945405959156721,0.000999000999000999,0,1,0.00790085392538984,1.2413170337677
"514","CXCL2",5,436,-0.0722164528154294,0.016,0,1,0.0821626649078777,1.3777449131012
"515","ANXA1",5,436,-0.060781114813766,0.051,0,1,0.202772411959148,1.26998400688171
"516","CXCL10",5,437,-0.0552912755160867,0.058,0,1,0.223144111569272,1.41017293930054
"517","NPY2R",5,436,-0.0702944555723381,0.016,0,1,0.0821626649078777,1.42069697380066
"518","PENK",5,436,-0.0860505848355975,0.007,0,1,0.0417329159094878,1.22057294845581
"35","KIF20A",3,349,-0.149994214859679,0.000999000999000999,0,1,0.00790085392538984,1.46378588676453
"36","CENPA",3,373,-0.156808538513472,0.000999000999000999,0,1,0.00790085392538984,1.28010988235474
"37","CENPF",3,367,-0.158139138280587,0.000999000999000999,0,1,0.00790085392538984,1.46862006187439
"519","POLQ",5,433,-0.0982801137587139,0.003,0,1,0.0204274289709421,1.45549893379211
"38","KIF2C",3,374,-0.152705511794536,0.000999000999000999,0,1,0.00790085392538984,1.27330994606018
"23","UBE2C",2,205,-0.272441627355296,0.000999000999000999,0,1,0.00790085392538984,1.47020101547241
"39","TPX2",3,369,-0.149437228953567,0.000999000999000999,0,1,0.00790085392538984,1.28421998023987
"24","FOXM1",2,164,-0.221111769834463,0.000999000999000999,0,1,0.00790085392538984,1.46577286720276
"310","KIF4A",3,356,-0.177985205310134,0.000999000999000999,0,1,0.00790085392538984,1.4955039024353
"311","ASPM",3,323,-0.171176437906177,0.000999000999000999,0,1,0.00790085392538984,1.2703161239624
"48","GTSE1",4,427,-0.131830041382864,0.000999000999000999,0,1,0.00790085392538984,1.43817090988159
"312","HJURP",3,330,-0.155254831985298,0.000999000999000999,0,1,0.00790085392538984,1.26032590866089
"25","AURKA",2,220,-0.203542050069368,0.000999000999000999,0,1,0.00790085392538984,1.47873401641846
"313","BUB1",3,369,-0.133681935605032,0.000999000999000999,0,1,0.00790085392538984,1.48728203773499
"26","CCNA2",2,202,-0.197423562365688,0.000999000999000999,0,1,0.00790085392538984,1.28032994270325
"314","PRC1",3,351,-0.166709129796639,0.000999000999000999,0,1,0.00790085392538984,1.45959901809692
"27","DLGAP5",2,149,-0.201812260263158,0.000999000999000999,0,1,0.00790085392538984,1.26275300979614
"28","CDC20",2,214,-0.195385298283401,0.000999000999000999,0,1,0.00790085392538984,1.47208714485168
"520","THRA",5,436,-0.100542677258674,0.004,0,1,0.026085843671449,1.22785997390747
"61","PIGU",6,436,-0.0914050488035763,0.007,0,1,0.0417329159094878,1.33175706863403
"49","MRAS",4,423,-0.168351992231067,0.000999000999000999,0,1,0.00790085392538984,1.40054106712341
"521","CAPZA1",5,436,-0.045367663157309,0.115,0,1,0.363724662321172,1.23354005813599
"522","TIMM17A",5,433,-0.0310338059155429,0.203,0,1,0.526693507887891,1.34575390815735
"410","RHOJ",4,424,-0.160157322280276,0.000999000999000999,0,1,0.00790085392538984,1.25421595573425
"411","PAK3",4,426,-0.154343557713687,0.000999000999000999,0,1,0.00790085392538984,1.44384098052979
"29","CDC25C",2,173,-0.196320567254262,0.000999000999000999,0,1,0.00790085392538984,1.54642605781555
"523","PARP1",5,436,-0.0929948309805206,0.004,0,1,0.026085843671449,1.25551295280457
"315","FEN1",3,322,-0.153997769624832,0.000999000999000999,0,1,0.00790085392538984,1.41642904281616
"524","TLE4",5,436,-0.0572456342018756,0.061,0,1,0.231609766303338,1.26028609275818
"412","TTC28",4,420,-0.108776905407814,0.002,0,1,0.0144292161968444,1.38094401359558
"62","PRNP",6,437,-0.0815292694231723,0.011,0,1,0.0606084600680215,1.42977118492126
"413","COMP",4,417,-0.177185044454754,0.000999000999000999,0,1,0.00790085392538984,1.20673203468323
"414","RELN",4,429,-0.123701970694656,0.000999000999000999,0,1,0.00790085392538984,1.41796898841858
"415","TNXB",4,417,-0.184059800927152,0.000999000999000999,0,1,0.00790085392538984,1.22566795349121
"416","CAV1",4,433,-0.0924270644308792,0.004,0,1,0.026085843671449,1.43202996253967
"210","FANCI",2,181,-0.251467923828891,0.000999000999000999,0,1,0.00790085392538984,1.30922508239746
"316","NDC80",3,368,-0.146279095301768,0.000999000999000999,0,1,0.00790085392538984,1.47032785415649
"317","CENPE",3,372,-0.140613627847014,0.000999000999000999,0,1,0.00790085392538984,1.50128293037415
"318","ECT2",3,339,-0.150536209985207,0.000999000999000999,0,1,0.00790085392538984,1.273686170578
"417","NCAPH",4,415,-0.151236193713909,0.000999000999000999,0,1,0.00790085392538984,1.44468402862549
"319","KIF11",3,351,-0.140306212917922,0.000999000999000999,0,1,0.00790085392538984,1.29539179801941
"320","MAD2L1",3,378,-0.133336466496873,0.000999000999000999,0,1,0.00790085392538984,1.47157883644104
"321","NUSAP1",3,319,-0.145762830924672,0.001,0,1,0.00790775527898214,1.4852409362793
"418","PLK1",4,431,-0.13991448390517,0.000999000999000999,0,1,0.00790085392538984,1.29714179039001
"322","NCAPG",3,331,-0.154481725553742,0.000999000999000999,0,1,0.00790085392538984,1.49261784553528
"323","BUB1B",3,378,-0.153325057311434,0.000999000999000999,0,1,0.00790085392538984,1.43599104881287
"324","TTK",3,320,-0.155983451349126,0.000999000999000999,0,1,0.00790085392538984,1.46491694450378
"419","EPHB1",4,425,-0.110300656456972,0.001,0,1,0.00790775527898214,1.48449087142944
"525","VAMP2",5,436,-0.0488918559862975,0.087,0,1,0.299440702948497,1.29799199104309
"325","UBE2T",3,324,-0.139426266651631,0.000999000999000999,0,1,0.00790085392538984,1.45238304138184
"326","FAAP24",3,310,-0.153697665010371,0.000999000999000999,0,1,0.00790085392538984,1.26187491416931
"420","ATP6AP1",4,423,-0.130333183444222,0.001,0,1,0.00790775527898214,1.3826470375061
"526","HPRT1",5,434,-0.0938283306192864,0.008,0,1,0.0466265098984184,1.50608491897583
"527","PDE1C",5,435,-0.0806049474448999,0.012,0,1,0.0650741835503296,1.25244903564453
"528","PDE2A",5,434,-0.0887107304176526,0.01,0,1,0.0560517018598809,1.46508598327637
"529","TK1",5,436,-0.122369827552892,0.000999000999000999,0,1,0.00790085392538984,1.26477789878845
"211","TYMS",2,157,-0.248344954197478,0.000999000999000999,0,1,0.00790085392538984,1.47933292388916
