"","gene.id","radius","size","observed.tau_b","p.Decay","time"
"21016","EIF2A",2,173,0.0384705859545387,0.731,4.67035794258118
"31718","PMP22",3,317,0.0728954829374976,0.959,4.85172486305237
"31719","APPBP2",3,800,0.0294084787992905,0.864,3.9120819568634
"31720","ZMIZ1",3,858,-0.0371451841816867,0.074,4.39358401298523
"21017","TMPRSS2",2,17,0,0.533,4.41523003578186
"31721","MLC1",3,1244,-0.0390875619126191,0.041,4.06289887428284
"31722","ADGRV1",3,183,-0.0137857153447732,0.45,4.72523498535156
"31723","ADAM28",3,564,0.0260268363494383,0.776,5.00359320640564
"31724","CD226",3,377,-0.0594360982017153,0.071,4.44678092002869
"31725","SELPLG",3,395,-0.0308973107102167,0.206,4.93621516227722
"31726","EDIL3",3,542,0.0557255598471193,0.943,4.98655796051025
"31727","SCAI",3,642,-0.0117416602617977,0.349,3.87844896316528
"21018","ITGB1BP1",2,16,-0.0235702260395516,0.494,5.00976991653442
"31728","PAQR3",3,596,-0.0038014215786008,0.467,4.97321605682373
"31729","ORAI1",3,993,-0.0308193069015386,0.108,3.99261879920959
"31730","PTPN2",3,1243,-0.00130109578836607,0.484,4.4244601726532
"31731","SOCS6",3,1268,0.00227320761499929,0.567,4.50035214424133
"31732","BATF",3,898,0.0384499003482902,0.927,3.92821979522705
"31733","BATF2",3,888,0.0384163412030054,0.926,4.34403419494629
"21019","SNX8",2,5,-0.316227766016838,0.393,4.77020907402039
"4266","SLC26A2",4,845,-0.0587247120898717,0.019,4.1238751411438
"4267","ETHE1",4,1518,-0.0409718320949636,0.025,4.79248905181885
"31734","SCO1",3,353,-0.0206826799563628,0.286,3.75645303726196
"21020","KRT10",2,6,-0.258198889747161,0.341,4.76547288894653
"31735","MTG2",3,46,-0.0927783234568802,0.267,4.48602485656738
"31736","PRUNE1",3,46,-0.0132540462081257,0.492,4.08789682388306
"31737","GTPBP10",3,46,-0.212064739330012,0.054,4.44982194900513
"31738","ARFIP2",3,1009,0.0733925492464437,0.997,4.35461902618408
"31739","SFR1",3,235,-0.0566115447212573,0.144,4.49245595932007
"21021","PTPRS",2,15,-0.260820265478651,0.205,4.76175785064697
"4268","ABCC9",4,1121,-0.0448300514335147,0.03,4.71822500228882
"31740","AKAP1",3,1059,-0.0337963829709211,0.09,3.99908304214478
"31741","PTPRU",3,363,0.0419682525887125,0.833,4.95017695426941
"31742","ACAP2",3,263,-0.110719324766149,0.015,4.86450505256653
"31743","FBXO8",3,263,-0.0710159070126688,0.077,4.37571692466736
"31744","GULP1",3,263,-0.0690495597367788,0.074,4.85810494422913
"31745","ASAP3",3,290,-0.084956131476234,0.04,4.88227200508118
"31746","CLEC2D",3,13,-0.480384461415261,0.025,4.50431990623474
"4269","EMILIN3",4,895,-0.0251630067782491,0.194,5.11236691474915
"31747","TMEM214",3,468,0.0139976691345947,0.632,4.23790407180786
"31748","SPAG6",3,177,0.0219684424250252,0.639,3.6185131072998
"21022","UCHL1",2,132,-0.102419637532422,0.081,4.55376410484314
"31749","KRT16",3,37,-0.0759934587645922,0.282,4.51757884025574
"4270","KRT6B",4,32,-0.00806451612903226,0.515,4.0503568649292
"31750","KRT6A",3,32,-0.233870967741935,0.059,4.41413593292236
"31751","FARP1",3,844,0.0753959406594804,0.996,3.91905403137207
"21023","CNN3",2,40,0.212139782480749,0.969,4.33743500709534
"125","ARHGAP8",1,0,NA,1,4.36726784706116
"31752","ARHGEF10L",3,844,0.0751635956959689,0.995,3.91781687736511
"31753","PLEKHG6",3,844,0.0739173818007709,0.996,4.31669616699219
"31754","ERCC6L2",3,426,0.0108595599722787,0.617,4.1751229763031
"4271","MTERF4",4,1142,-0.0345795151768918,0.083,4.17535400390625
"31755","TMEM189",3,503,0.0353952086996601,0.821,4.92597198486328
"31756","FMNL3",3,829,0.0801501747052898,0.997,4.34273195266724
"31757","ALCAM",3,162,-0.119038047768938,0.029,4.31440305709839
"31758","NCAM2",3,403,-0.0430365938013377,0.142,4.85742115974426
"31759","DCLK2",3,648,-0.00046824875614845,0.497,3.86680293083191
"31760","NPC2",3,164,-0.120426727419785,0.032,4.75423502922058
"31761","ARHGEF26",3,190,0.14057582751229,0.996,4.74439001083374
"4272","LAMP1",4,256,-0.0752213600370466,0.102,3.65983200073242
"31762","ZNF574",3,547,0.0698035990506615,0.977,4.22878098487854
"4273","SLC22A17",4,711,-0.0058522593841084,0.444,5.12849187850952
"31763","PDPN",3,971,-0.00318877876258873,0.444,3.95305514335632
"31764","MFNG",3,508,0.0245209113047101,0.748,4.34773206710815
"21024","RFNG",2,12,-0.27524094128159,0.191,4.39365100860596
"4274","HAVCR2",4,101,-0.104099792106053,0.115,4.2914719581604
"4275","LMF1",4,969,-0.00491574086229229,0.396,4.55952405929565
"4276","LMF2",4,969,-0.00447852745051218,0.406,4.60333395004272
"31765","SCOC",3,59,-0.0672253877604242,0.261,4.00533604621887
"31766","STXBP4",3,761,0.0605397372887502,0.968,4.29281091690063
"4277","CNKSR3",4,137,-0.0560132305567602,0.234,4.31762099266052
"4278","CFAP36",4,141,-0.0557076814223428,0.244,4.56480503082275
"31767","SERPINF1",3,206,0.0863330781191459,0.939,4.0759129524231
"31768","NPAS3",3,426,-0.0394615744057925,0.17,4.4984610080719
"31769","SIM1",3,426,-0.046078363649592,0.134,4.88317894935608
"31770","SIM2",3,426,-0.0467161264682715,0.133,4.93953919410706
"31771","DBP",3,254,-0.0398471102670193,0.252,3.69215106964111
"31772","CD22",3,659,-0.0252000420570306,0.221,4.23880004882812
"31773","SH3BP5",3,733,0.0269169043072772,0.804,4.31112098693848
"31774","GPR161",3,1187,-0.017767103882185,0.218,4.115483045578
"31775","OXSR1",3,331,0.0324664921018166,0.759,4.15160703659058
"31776","PPM1A",3,1221,0.0119442197816876,0.709,4.02566909790039
"126","TRIM33",1,0,NA,1,4.61247897148132
"31777","PMEPA1",3,649,-0.00473488581761794,0.476,4.29073095321655
"31778","LDLRAD4",3,530,-0.00303358203809158,0.51,3.86160802841187
"31779","TGFBRAP1",3,852,-0.0170063911344663,0.275,4.45298504829407
"31780","DLX1",3,654,-0.0175685900434709,0.282,3.9278929233551
"31781","STK11IP",3,712,0.00511125718442009,0.569,4.29737901687622
"31782","BRSK1",3,221,-0.0617292000727368,0.143,4.92922210693359
"31783","MXD4",3,1160,0.0018805442461058,0.533,4.01881098747253
"31784","PEG10",3,1159,0.00669632463352714,0.614,4.41115498542786
"31785","IREB2",3,1350,0.0079123847844428,0.641,4.47477412223816
"31786","SERPINI1",3,1159,0.00498346818144669,0.585,3.99529910087585
"31787","S100A7",3,1469,0.0136468645829233,0.745,4.48193407058716
"31788","TMEM126A",3,1159,-0.000708070580584441,0.492,4.47373199462891
"31789","RIOX2",3,1457,0.0533476798423008,0.997,4.07013201713562
"31790","TRIM7",3,100,0.0500025001875156,0.696,4.59933304786682
"31791","DBF4B",3,316,0.00102307290225473,0.506,4.92206406593323
"31792","UHRF2",3,218,-0.00375409654666381,0.484,4.43410611152649
"31793","LGI4",3,22,-0.179881830754079,0.185,4.41270995140076
"4279","PSTPIP1",4,215,-0.00760274299145968,0.446,4.84203410148621
"31794","MAP4K5",3,892,0.0602503924264564,0.982,3.91998505592346
"31795","NRK",3,688,0.026561075759992,0.805,4.28557801246643
"31796","WDR4",3,815,-0.0134083929498244,0.321,4.05133414268494
"21025","LFNG",2,12,0,0.532,4.32960796356201
"31797","TFE3",3,162,-0.0738468617543699,0.165,3.98490500450134
